# n ra dec fovra fovdec 
612 108.41254 -5.0 3.0 3.0  
613 111.424 -5.0 3.0 3.0  
614 114.43546 -5.0 3.0 3.0  
615 117.44692 -5.0 3.0 3.0  
616 120.45838 -5.0 3.0 3.0  
617 123.46984 -5.0 3.0 3.0  
618 126.4813 -5.0 3.0 3.0  
619 129.49276 -5.0 3.0 3.0  
620 132.50422 -5.0 3.0 3.0  
621 135.51568 -5.0 3.0 3.0  
622 138.52714 -5.0 3.0 3.0  
623 141.5386 -5.0 3.0 3.0  
624 144.55006 -5.0 3.0 3.0  
625 147.56152 -5.0 3.0 3.0  
626 150.57298 -5.0 3.0 3.0  
627 153.58444 -5.0 3.0 3.0  
628 156.59589 -5.0 3.0 3.0  
629 159.60735 -5.0 3.0 3.0  
630 162.61881 -5.0 3.0 3.0  
631 165.63027 -5.0 3.0 3.0  
632 168.64173 -5.0 3.0 3.0  
633 171.65319 -5.0 3.0 3.0  
634 174.66465 -5.0 3.0 3.0  
635 177.67611 -5.0 3.0 3.0  
636 180.68757 -5.0 3.0 3.0  
637 183.69903 -5.0 3.0 3.0  
638 186.71049 -5.0 3.0 3.0  
639 189.72195 -5.0 3.0 3.0  
640 192.73341 -5.0 3.0 3.0  
641 195.74487 -5.0 3.0 3.0  
642 198.75633 -5.0 3.0 3.0  
643 201.76779 -5.0 3.0 3.0  
644 204.77925 -5.0 3.0 3.0  
645 207.79071 -5.0 3.0 3.0  
646 210.80217 -5.0 3.0 3.0  
647 213.81363 -5.0 3.0 3.0  
648 216.82508 -5.0 3.0 3.0  
649 219.83654 -5.0 3.0 3.0  
650 222.848 -5.0 3.0 3.0  
651 225.85946 -5.0 3.0 3.0  
652 228.87092 -5.0 3.0 3.0  
653 231.88238 -5.0 3.0 3.0  
654 234.89384 -5.0 3.0 3.0  
655 237.9053 -5.0 3.0 3.0  
656 240.91676 -5.0 3.0 3.0  
657 243.92822 -5.0 3.0 3.0  
658 246.93968 -5.0 3.0 3.0  
659 249.95114 -5.0 3.0 3.0  
660 252.9626 -5.0 3.0 3.0  
661 255.97406 -5.0 3.0 3.0  
662 258.98552 -5.0 3.0 3.0  
